name,voteCount,rating,address,cusine,cost,timing,lat,long
Kolkata S Thunder,Cuisines:,-,"108/110/1, G.T Road, Shibpur, Howrah",Chinese,₹200,12noon – 12midnight (Mon-Sun),22.8046754,87.87483195
Zaiqa Fast Food Centre,Cuisines:,-,"14, Topsia Road, Tiljala, Ward 66, Picnic Garden, Kolkata","Fast Food, Mughlai",₹300,10am – 10pm (Mon-Sun),22.5359907,88.3808821
Rajballavi Sweet,Cuisines:,-,"GD 154, Sector 3, Salt Lake, Kolkata",Biryani,₹300,7am – 10pm (Mon-Sun),22.57045,88.414839
Stoner's Paradise,Cuisines:,,"23 A, Chowbaga Road, Tiljala, Picnic Garden, Kolkata","Fast Food, American",₹300,,22.5300628,88.3907929
Super Snacks Bar,Cuisines:,-,"1, Chintamoni Dey Road, Near Howrah Maidan Area, Howrah","Fast Food, American",₹150,1pm – 9pm (Mon-Sun),22.58800795,88.29791135
Rolls Of Tornado,Cuisines:,-,"13/1C, Prince Rahimuddin Lane, Tollygunge, Kolkata","Chinese, Rolls, Fast Food",₹300,10am – 10pm (Mon-Sun),22.5318847,87.8315299
New Bela Biryani,Cuisines:,,"33/C, Topsia Road, Topsia, Kolkata","North Indian, Chinese",₹200,,22.43028315,87.4151126
Officer's Kitchen,Cuisines:,-,"25, Bose Pukur Road, Kasba, Kolkata","North Indian, Chinese",₹500,11am – 11pm (Mon-Sun),22.5192989,88.3842081
Belal Biriyani,Cuisines:,-,"34, Near Gabtala Masjid, Topsia, Kolkata","Cafe, Fast Food",₹150,11am – 12midnight (Mon-Sun),22.5335613,88.3886921
Jharna Food Centre,Cuisines:,,"RA-288, Nabapally, IB Market, Bidhannagar, Sector 4, Salt Lake, Kolkata","Cafe, Fast Food",₹250,,22.5637272,88.4152485
Cakes,Cuisines:,NEW,"37, Dr Abani Dutta Road, Gagananchal Market, Dobson Road, Howrah","Bengali, Biryani",₹250,8am – 9:30pm (Mon-Sun),22.5941702,88.3417307
Swarnadip Restaurant,Cuisines:,NEW,"Ambika kundu Lane, Panchanan Tala Ramraja, Tala Howra, Howrah Station Area, Howrah","Bengali, Biryani",₹200,10am – 11pm (Mon-Sun),22.5867051,88.2988908
Wicked Chef,Cuisines:,NEW,"23/51, Gariahat Road, Near South City College, Golpark, Kolkata",South Indian,₹300,11am – 11pm (Mon-Sun),22.41594975,87.7929456
M Cafe,Cuisines:,-,"45/5/H/3, Diamond Harbour Road, Near Mominpore Bus Stand, Behala, Kolkata","North Indian, Chinese, Fast Food",₹200,11am – 11pm (Mon-Sun),22.47834745,87.89273485
Kolkata King Biriyani,Cuisines:,-,"6, Jagat Banerjee Ghat Road Kazi Para Shibpur, Shibpur, Howrah","North Indian, Chinese, Fast Food",₹300,11am – 11pm (Mon-Sun),22.566848,88.317031
Aditi Uditi Fast Food Center,Cuisines:,-,"134/B, Masjid Bari Street, Shobha Bazar, Kolkata","Street Food, Rolls",₹400,11am – 10pm (Mon-Sun),22.52570815,87.88617935
Happy Tummy Bowls By Buddha Bites,Cuisines:,-,"200, Jodhpur Garden, Jodhpur Park, Kolkata",South Indian,₹550,11am – 11pm (Mon-Sun),22.5027808,88.3610062
